prompt,seed,width,height,sampler,cfgs,steps,filename,negative_prompt,sd_model_name,sd_model_hash
"realism of the digital picture,depth of field,foreshortening,cinematic lighting,cinematic compositon,detailed lips,detailed eyes,(EyesHD:1.2),(4k,8k,Ultra HD),masterpiece,best quality,ultra-detailed,very aesthetic,sharp focus,depth of field,ray tracing,best lighting, cinematic,beautiful face,beautiful eyes,soft lighting,absolutely eye-catching, (thick outlines, thick contours),

outdoors, farm, barn, night, moonlight,

solo, 1girl, ((rabbit girl)), anthro, ((furry: 1.4)), furry girl, long eyelashes, furry rabbit girl, sexy, ((big eyes: 1.3)), bunny eyes, bunny pupils, blue eyes, ((mouth open: 1.3)), ((happy: 1.3)), bunny ears, ((white bunny fur: 1.3)), ((bunny face: 1.3)), huge lips, full lips, thick lips, bolted on lips, bimbo lips, blonde hair, hair parted down the middle, long hair, straight hair, tired, blushing, mouth open, tongue out,

big breasts, perky breasts, gigantic ass, bubble butt, tiny waist, microwaist, ribs visible, wide hips, muscular girl, toned body, toned abs, skinny, curvy,

naked, nude,

hyper long futanari penis, gigantic futanari penis, small futanari testicles, veiny futanari penis, vagina, thin futanari penis, equine penis, penis on chest,

dynamic view, dynamic angle, dynamic shot, ((focus on vagina), looking down at vagina, front view, low angle, closeup on vagina,

lying on back, ((covered in cum, excessive cum, cum everywhere: 1.3)), sweat, tired, ((cum leaking from vagina: 1.2)), cum on breasts, cum on body, ((hands under testicles: 1.3)), raising testicles, ((lifting testicles: 1.7)), ((revealing vagina)), vagina visible, ((cum in vagina: 1.3)), legs spread, lifting leg,

<lora:69yottea_illu_v2:.39>, <lora:WSSKX_WAI:.3>, <lora:748cm_illu:0.4>,7481llu, <lora:ppw_v8_Illuv2stable_128:0.5>,69yotte4_illu, lora:ATRex_style:.45>, <lora:Libidos_Style__IllustriousPony:.3>, <lora:Bolted_On_Lips_v4:.4>, <lora:gideon_IL:.18>, <lora:Vikings_Gideon_Lora:.18>, <lora:Penis Size Slider - Illustrious - Futa_alpha1.0_rank4_noxattn_last:1.4>",3321936069,1216,1216,DPM++ 2M,7,30,00011-3321936069.png,"bad quality,worst quality,worst detail,sketch,censor,artist name,signature, watermark, patreon username, purple eyes, thigh tattoo, leg tattoo, tattoos, loli, underage, high heels, heels, shoes, earring, low angle, high angle, white fur, cum, precum, wet, penis tongue, white hair, white face, white markings, breasts pov, female pov, futanari pov, pubic hair, gloves, muscular male, white fur, yellow sclera, blue eyes,",prefectIllustriousXL_40,462cf8610a
"realism of the digital picture,depth of field,foreshortening,cinematic lighting,cinematic compositon,detailed lips,detailed eyes,(EyesHD:1.2),(4k,8k,Ultra HD),masterpiece,best quality,ultra-detailed,very aesthetic,sharp focus,depth of field,ray tracing,best lighting, cinematic,beautiful face,beautiful eyes,soft lighting,absolutely eye-catching, (thick outlines, thick contours),

outdoors, farm, barn, night, moonlight,

solo, 1girl, ((rabbit girl)), anthro, ((furry: 1.4)), furry girl, long eyelashes, furry rabbit girl, sexy, ((big eyes: 1.3)), bunny eyes, bunny pupils, blue eyes, ((mouth open: 1.3)), ((happy: 1.3)), bunny ears, ((white bunny fur: 1.3)), ((bunny face: 1.3)), huge lips, full lips, thick lips, bolted on lips, bimbo lips, blonde hair, hair parted down the middle, long hair, straight hair, tired, blushing, mouth open, tongue out,

big breasts, perky breasts, gigantic ass, bubble butt, tiny waist, microwaist, ribs visible, wide hips, muscular girl, toned body, toned abs, skinny, curvy,

naked, nude,

hyper long futanari penis, gigantic futanari penis, small futanari testicles, veiny futanari penis, vagina, thin futanari penis, equine penis, penis on chest,

dynamic view, dynamic angle, dynamic shot, ((focus on vagina), looking down at vagina, front view, low angle, closeup on vagina,

lying on back, ((covered in cum, excessive cum, cum everywhere: 1.3)), sweat, tired, ((cum leaking from vagina: 1.2)), cum on breasts, cum on body, ((hands under testicles: 1.3)), raising testicles, ((lifting testicles: 1.7)), ((revealing vagina)), vagina visible, ((cum in vagina: 1.3)), legs spread, lifting leg,

<lora:69yottea_illu_v2:.39>, <lora:WSSKX_WAI:.3>, <lora:748cm_illu:0.4>,7481llu, <lora:ppw_v8_Illuv2stable_128:0.5>,69yotte4_illu, lora:ATRex_style:.45>, <lora:Libidos_Style__IllustriousPony:.3>, <lora:Bolted_On_Lips_v4:.4>, <lora:gideon_IL:.18>, <lora:Vikings_Gideon_Lora:.18>, <lora:Penis Size Slider - Illustrious - Futa_alpha1.0_rank4_noxattn_last:1.4>",3321936075,1216,1216,DPM++ 2M,7,30,00012-3321936075.png,"bad quality,worst quality,worst detail,sketch,censor,artist name,signature, watermark, patreon username, purple eyes, thigh tattoo, leg tattoo, tattoos, loli, underage, high heels, heels, shoes, earring, low angle, high angle, white fur, cum, precum, wet, penis tongue, white hair, white face, white markings, breasts pov, female pov, futanari pov, pubic hair, gloves, muscular male, white fur, yellow sclera, blue eyes,",prefectIllustriousXL_40,462cf8610a
"realism of the digital picture,depth of field,foreshortening,cinematic lighting,cinematic compositon,detailed lips,detailed eyes,(EyesHD:1.2),(4k,8k,Ultra HD),masterpiece,best quality,ultra-detailed,very aesthetic,sharp focus,depth of field,ray tracing,best lighting, cinematic,beautiful face,beautiful eyes,soft lighting,absolutely eye-catching, (thick outlines, thick contours),

outdoors, farm, barn, night, moonlight,

solo, 1girl, ((rabbit girl)), anthro, ((furry: 1.4)), furry girl, long eyelashes, furry rabbit girl, sexy, ((big eyes: 1.3)), bunny eyes, bunny pupils, blue eyes, ((mouth open: 1.3)), ((happy: 1.3)), bunny ears, ((white bunny fur: 1.3)), ((bunny face: 1.3)), huge lips, full lips, thick lips, bolted on lips, bimbo lips, blonde hair, hair parted down the middle, long hair, straight hair, tired, blushing, mouth open, tongue out,

big breasts, perky breasts, gigantic ass, bubble butt, tiny waist, microwaist, ribs visible, wide hips, muscular girl, toned body, toned abs, skinny, curvy,

naked, nude,

hyper long futanari penis, gigantic futanari penis, small futanari testicles, veiny futanari penis, vagina, thin futanari penis, equine penis, penis on chest,

dynamic view, dynamic angle, dynamic shot, ((focus on vagina), looking down at vagina, front view, low angle, closeup on vagina,

lying on side, ((covered in cum, excessive cum, cum everywhere: 1.3)), sweat, tired, ((cum leaking from vagina: 1.2)), cum on breasts, cum on body, ((hands under testicles: 1.3)), raising testicles, ((lifting testicles: 1.7)), ((revealing vagina)), vagina visible, ((cum in vagina: 1.3)), legs spread, lifting leg, post-sex,

<lora:69yottea_illu_v2:.39>, <lora:WSSKX_WAI:.3>, <lora:748cm_illu:0.4>,7481llu, <lora:ppw_v8_Illuv2stable_128:0.5>,69yotte4_illu, lora:ATRex_style:.45>, <lora:Libidos_Style__IllustriousPony:.3>, <lora:Bolted_On_Lips_v4:.4>, <lora:gideon_IL:.18>, <lora:Vikings_Gideon_Lora:.18>, <lora:Penis Size Slider - Illustrious - Futa_alpha1.0_rank4_noxattn_last:1.4>",3093200703,1216,1216,DPM++ 2M,7,30,00013-3093200703.png,"bad quality,worst quality,worst detail,sketch,censor,artist name,signature, watermark, patreon username, purple eyes, thigh tattoo, leg tattoo, tattoos, loli, underage, high heels, heels, shoes, earring, low angle, high angle, white fur, cum, precum, wet, penis tongue, white hair, white face, white markings, breasts pov, female pov, futanari pov, pubic hair, gloves, muscular male, white fur, yellow sclera, blue eyes, dark penis, dark testicles,",prefectIllustriousXL_40,462cf8610a
"realism of the digital picture,depth of field,foreshortening,cinematic lighting,cinematic compositon,detailed lips,detailed eyes,(EyesHD:1.2),(4k,8k,Ultra HD),masterpiece,best quality,ultra-detailed,very aesthetic,sharp focus,depth of field,ray tracing,best lighting, cinematic,beautiful face,beautiful eyes,soft lighting,absolutely eye-catching, (thick outlines, thick contours),

outdoors, farm, barn, night, moonlight,

solo, 1girl, ((rabbit girl)), anthro, ((furry: 1.4)), furry girl, long eyelashes, furry rabbit girl, sexy, ((big eyes: 1.3)), bunny eyes, bunny pupils, blue eyes, ((mouth open: 1.3)), ((happy: 1.3)), bunny ears, ((white bunny fur: 1.3)), ((bunny face: 1.3)), huge lips, full lips, thick lips, bolted on lips, bimbo lips, blonde hair, hair parted down the middle, long hair, straight hair, tired, blushing, mouth open, tongue out,

big breasts, perky breasts, gigantic ass, bubble butt, tiny waist, microwaist, ribs visible, wide hips, muscular girl, toned body, toned abs, skinny, curvy,

naked, nude,

hyper long futanari penis, gigantic futanari penis, small futanari testicles, veiny futanari penis, vagina, thin futanari penis, equine penis, penis on chest,

dynamic view, dynamic angle, dynamic shot, ((focus on vagina), looking down at vagina, front view, low angle, closeup on vagina,

lying on side, ((covered in cum, excessive cum, cum everywhere: 1.3)), sweat, tired, ((cum leaking from vagina: 1.2)), cum on breasts, cum on body, ((hands under testicles: 1.3)), raising testicles, ((lifting testicles: 1.7)), ((revealing vagina)), vagina visible, ((cum in vagina: 1.3)), legs spread, lifting leg, post-sex,

<lora:69yottea_illu_v2:.39>, <lora:WSSKX_WAI:.3>, <lora:748cm_illu:0.4>,7481llu, <lora:ppw_v8_Illuv2stable_128:0.5>,69yotte4_illu, lora:ATRex_style:.45>, <lora:Libidos_Style__IllustriousPony:.3>, <lora:Bolted_On_Lips_v4:.4>, <lora:gideon_IL:.18>, <lora:Vikings_Gideon_Lora:.18>, <lora:Penis Size Slider - Illustrious - Futa_alpha1.0_rank4_noxattn_last:1.4>",3093200701,1216,1216,DPM++ 2M,7,30,00014-3093200701.png,"bad quality,worst quality,worst detail,sketch,censor,artist name,signature, watermark, patreon username, purple eyes, thigh tattoo, leg tattoo, tattoos, loli, underage, high heels, heels, shoes, earring, low angle, high angle, white fur, cum, precum, wet, penis tongue, white hair, white face, white markings, breasts pov, female pov, futanari pov, pubic hair, gloves, muscular male, white fur, yellow sclera, blue eyes, dark penis, dark testicles,",prefectIllustriousXL_40,462cf8610a
